"","Account","Month","Trx","SP","Calls","PDE","Emails","Clicks","Samples"
"188","A16B012",8,660,3,1,10,32,16,19
"189","A16B012",9,660,3,14,12,39,26,134
"190","A16B012",10,660,5,22,13,42,32,278
"191","A16B012",11,660,3,1,10,32,16,19
"192","A16B012",12,660,1,1,9,29,13,12
"193","A17B012",1,660,0,1,9,23,8,6
"194","A17B012",2,660,0,1,9,23,8,6
"195","A17B012",3,849,1,1,9,29,13,12
"196","A17B012",4,660,1,1,9,29,13,12
"197","A17B012",5,660,1,1,9,29,13,12
"198","A17B012",6,1507,3,1,10,32,16,19
"199","A17B012",7,660,3,1,10,32,16,19
"200","A17B012",8,801,0,1,9,23,8,6
"201","A17B012",9,660,0,1,9,23,8,6
"202","A17B012",10,1768,3,1,10,32,16,19
"203","A17B012",11,660,3,1,10,32,16,19
"204","A17B012",12,871,0,1,9,23,8,6
"205","A18B012",1,660,0,1,9,23,8,6
"206","A18B012",2,660,0,1,9,23,8,6
"207","A18B012",3,660,0,1,9,23,8,6
"208","A18B012",4,660,0,1,9,23,8,6
"209","A18B012",5,324,0,1,9,23,8,6
"210","A18B012",6,207,0,1,9,23,8,6
"211","A18B012",7,660,0,1,9,23,8,6
"212","A18B012",8,660,0,1,9,23,8,6
"213","A18B012",9,660,0,1,9,23,8,6
"214","A18B012",10,660,0,1,9,23,8,6
"215","A18B012",11,660,0,1,9,23,8,6
"216","A18B012",12,660,0,1,9,23,8,6
"217","A19B012",1,3379,0,1,9,23,8,6
"218","A19B012",2,3075,4,1,10,33,17,20
"219","A19B012",3,2764,2,1,10,31,15,17
"220","A19B012",4,660,1,1,9,29,13,12
"221","A19B012",5,660,0,1,9,23,8,6
"222","A19B012",6,660,1,1,9,29,13,12
"223","A19B012",7,660,1,1,9,29,13,12
"224","A19B012",8,660,0,1,9,23,8,6
"225","A19B012",9,660,1,1,9,29,13,12
"226","A19B012",10,5877,1,1,9,29,13,12
"227","A19B012",11,5409,0,1,9,23,8,6
"228","A19B012",12,660,1,1,9,29,13,12
"229","A20B012",1,660,1,1,9,29,13,12
"230","A20B012",2,660,4,1,10,33,17,20
"231","A20B012",3,660,4,1,10,33,17,20
"232","A20B012",4,660,4,1,10,33,17,20
"233","A20B012",5,660,3,1,10,32,16,19
"234","A20B012",6,660,5,16,12,41,29,176
"235","A20B012",7,660,4,8,11,38,24,76
"236","A20B012",8,660,9,14,12,42,31,173
"237","A20B012",9,660,3,1,10,32,16,19
"238","A20B012",10,660,3,1,10,32,16,19
"239","A20B012",11,660,5,1,10,33,17,20
"240","A20B012",12,660,10,1,11,35,20,29
"241","A21B012",1,660,2,1,10,31,15,17
"242","A21B012",2,660,1,1,9,29,13,12
"243","A21B012",3,660,1,8,10,35,19,51
"244","A21B012",4,660,0,1,9,23,8,6
"245","A21B012",5,660,2,16,12,39,26,150
"246","A21B012",6,660,1,1,9,29,13,12
"247","A21B012",7,660,2,8,11,37,23,70
"248","A21B012",8,660,0,1,9,23,8,6
"249","A21B012",9,660,1,1,9,29,13,12
"250","A21B012",10,660,1,1,9,29,13,12
"251","A21B012",11,660,0,1,9,23,8,6
"252","A21B012",12,660,0,1,9,23,8,6
"253","A22B012",1,660,0,1,9,23,8,6
"254","A22B012",2,1123,1,1,9,29,13,12
"255","A22B012",3,495,0,1,9,23,8,6
"256","A22B012",4,660,0,1,9,23,8,6
"257","A22B012",5,4661,1,1,9,29,13,12
"258","A22B012",6,660,0,1,9,23,8,6
"259","A22B012",7,3406,0,1,9,23,8,6
"260","A22B012",8,660,0,1,9,23,8,6
"261","A22B012",9,1454,0,1,9,23,8,6
"262","A22B012",10,2068,0,1,9,23,8,6
"263","A22B012",11,2214,0,1,9,23,8,6
"264","A22B012",12,660,0,1,9,23,8,6
"265","A23B012",1,660,1,1,9,29,13,12
"266","A23B012",2,660,2,1,10,31,15,17
"267","A23B012",3,660,0,1,9,23,8,6
"268","A23B012",4,660,0,1,9,23,8,6
"269","A23B012",5,660,1,1,9,29,13,12
"270","A23B012",6,660,1,1,9,29,13,12
"271","A23B012",7,660,1,1,9,29,13,12
"272","A23B012",8,660,1,1,9,29,13,12
"273","A23B012",9,660,1,1,9,29,13,12
"274","A23B012",10,660,1,1,9,29,13,12
"275","A23B012",11,660,1,1,9,29,13,12
"276","A23B012",12,1090,0,1,9,23,8,6
"277","A24B012",1,660,2,1,10,31,15,17
"278","A24B012",2,660,3,1,10,32,16,19
"279","A24B012",3,660,2,1,10,31,15,17
"280","A24B012",4,660,4,1,10,33,17,20
"281","A24B012",5,660,3,1,10,32,16,19
"282","A24B012",6,660,1,1,9,29,13,12
"283","A24B012",7,660,3,1,10,32,16,19
"284","A24B012",8,660,5,1,10,33,17,20
"285","A24B012",9,660,3,1,10,32,16,19
"286","A24B012",10,660,4,1,10,33,17,20
"287","A24B012",11,660,3,1,10,32,16,19
"288","A24B012",12,660,1,1,9,29,13,12
"289","A25B012",1,2217,1,1,9,29,13,12
"290","A25B012",2,660,3,1,10,32,16,19
"291","A25B012",3,2099,1,1,9,29,13,12
"292","A25B012",4,660,1,1,9,29,13,12
"293","A25B012",5,660,1,1,9,29,13,12
"294","A25B012",6,660,1,1,9,29,13,12
"295","A25B012",7,660,2,1,10,31,15,17
"296","A25B012",8,660,1,1,9,29,13,12
"297","A25B012",9,660,2,8,11,37,23,70
"298","A25B012",10,660,1,14,11,36,21,95
"299","A25B012",11,709,1,14,11,36,21,95
"300","A25B012",12,1056,0,1,9,23,8,6
"301","A26B012",1,660,0,1,9,23,8,6
"302","A26B012",2,1534,1,1,9,29,13,12
"303","A26B012",3,439,0,1,9,23,8,6
"304","A26B012",4,1895,0,1,9,23,8,6
"305","A26B012",5,660,1,1,9,29,13,12
"306","A26B012",6,660,0,1,9,23,8,6
"307","A26B012",7,2086,1,1,9,29,13,12
"308","A26B012",8,660,0,1,9,23,8,6
"309","A26B012",9,660,1,1,9,29,13,12
"310","A26B012",10,660,0,1,9,23,8,6
"311","A26B012",11,1867,1,1,9,29,13,12
"312","A26B012",12,627,0,1,9,23,8,6
"313","A27B012",1,595,3,1,10,32,16,19
"314","A27B012",2,6619,3,1,10,32,16,19
"315","A27B012",3,5402,1,16,12,37,24,132
"316","A27B012",4,2107,1,18,12,37,24,146
"317","A27B012",5,3815,1,1,9,29,13,12
"318","A27B012",6,5896,1,1,9,29,13,12
"319","A27B012",7,3629,1,16,12,37,24,132
"320","A27B012",8,4699,1,14,11,36,21,95
"321","A27B012",9,3589,3,22,12,41,29,236
"322","A27B012",10,3411,4,8,11,38,24,76
"323","A27B012",11,5959,5,1,10,33,17,20
"324","A27B012",12,4975,0,1,9,23,8,6
"325","A28B012",1,724,2,27,13,40,29,293
"326","A28B012",2,2544,5,1,10,33,17,20
"327","A28B012",3,1894,3,1,10,32,16,19
"328","A28B012",4,2316,3,1,10,32,16,19
"329","A28B012",5,1106,5,1,10,33,17,20
"330","A28B012",6,2205,1,14,11,36,21,95
"331","A28B012",7,1902,3,1,10,32,16,19
"332","A28B012",8,3098,7,1,10,34,18,22
"333","A28B012",9,1597,4,12,11,39,25,108
"334","A28B012",10,2239,3,14,12,39,26,134
"335","A28B012",11,2683,4,1,10,33,17,20
"336","A28B012",12,1761,4,18,12,41,29,195
"337","A29B012",1,660,0,1,9,23,8,6
"338","A29B012",2,660,1,1,9,29,13,12
"339","A29B012",3,660,1,1,9,29,13,12
"340","A29B012",4,660,1,1,9,29,13,12
"341","A29B012",5,660,1,1,9,29,13,12
"342","A29B012",6,660,1,1,9,29,13,12
"343","A29B012",7,660,1,1,9,29,13,12
"344","A29B012",8,660,0,1,9,23,8,6
"345","A29B012",9,660,1,1,9,29,13,12
"346","A29B012",10,660,1,1,9,29,13,12
"347","A29B012",11,660,1,1,9,29,13,12
"348","A29B012",12,660,0,1,9,23,8,6
"349","A30B012",1,660,1,1,9,29,13,12
"350","A30B012",2,660,0,1,9,23,8,6
"351","A30B012",3,660,1,1,9,29,13,12
"352","A30B012",4,2538,0,1,9,23,8,6
"353","A30B012",5,660,0,1,9,23,8,6
"354","A30B012",6,660,1,14,11,36,21,95
"355","A30B012",7,660,1,1,9,29,13,12
"356","A30B012",8,660,3,1,10,32,16,19
"357","A30B012",9,660,1,1,9,29,13,12
"358","A30B012",10,660,0,1,9,23,8,6
"359","A30B012",11,660,3,14,12,39,26,134
"360","A30B012",12,660,3,1,10,32,16,19
"361","A31B012",1,660,2,1,10,31,15,17
"362","A31B012",2,660,1,1,9,29,13,12
"363","A31B012",3,660,1,1,9,29,13,12
"364","A31B012",4,660,1,1,9,29,13,12
"365","A31B012",5,660,1,1,9,29,13,12
"366","A31B012",6,660,1,1,9,29,13,12
"367","A31B012",7,660,1,1,9,29,13,12
"368","A31B012",8,660,0,1,9,23,8,6
"369","A31B012",9,660,0,1,9,23,8,6
"370","A31B012",10,660,2,1,10,31,15,17
"371","A31B012",11,660,0,1,9,23,8,6
"372","A31B012",12,660,1,1,9,29,13,12
"373","A32B012",1,4775,0,1,9,23,8,6
"374","A32B012",2,1385,0,1,9,23,8,6
"375","A32B012",3,1540,3,1,10,32,16,19
"376","A32B012",4,660,0,1,9,23,8,6
"377","A32B012",5,2511,3,1,10,32,16,19
"378","A32B012",6,928,1,1,9,29,13,12
"379","A32B012",7,3294,1,1,9,29,13,12
"380","A32B012",8,4293,0,1,9,23,8,6
"381","A32B012",9,1325,0,1,9,23,8,6
"382","A32B012",10,4298,3,1,10,32,16,19
"383","A32B012",11,3133,1,1,9,29,13,12
"384","A32B012",12,2050,0,1,9,23,8,6
"385","A33B012",1,3645,3,14,12,39,26,134
"386","A33B012",2,5611,3,14,12,39,26,134
"387","A33B012",3,4279,2,1,10,31,15,17
"388","A33B012",4,2639,2,1,10,31,15,17
"389","A33B012",5,4071,1,8,10,35,19,51
"390","A33B012",6,2794,3,12,11,39,25,108
"391","A33B012",7,1288,3,14,12,39,26,134
"392","A33B012",8,4552,4,8,11,38,24,76
"393","A33B012",9,3050,3,1,10,32,16,19
"394","A33B012",10,4002,5,8,11,39,25,81
"395","A33B012",11,2505,5,16,12,41,29,176
"396","A33B012",12,1907,1,1,9,29,13,12
"397","A34B012",1,1014,3,12,11,39,25,108
"398","A34B012",2,449,3,1,10,32,16,19
"399","A34B012",3,660,3,1,10,32,16,19
"400","A34B012",4,660,1,1,9,29,13,12
"401","A34B012",5,1208,1,1,9,29,13,12
"402","A34B012",6,660,1,1,9,29,13,12
"403","A34B012",7,660,1,1,9,29,13,12
"404","A34B012",8,660,1,1,9,29,13,12
"405","A34B012",9,1103,5,12,12,40,28,132
"406","A34B012",10,730,3,1,10,32,16,19
"407","A34B012",11,660,3,14,12,39,26,134
"408","A34B012",12,660,1,1,9,29,13,12
"409","A35B012",1,1950,1,1,9,29,13,12
"410","A35B012",2,660,1,12,11,36,21,83
"411","A35B012",3,3565,3,23,13,41,30,266
"412","A35B012",4,899,8,22,13,43,33,294
"413","A35B012",5,726,2,1,10,31,15,17
"414","A35B012",6,2772,3,1,10,32,16,19
"415","A35B012",7,660,3,1,10,32,16,19
"416","A35B012",8,789,3,1,10,32,16,19
"417","A35B012",9,4256,3,1,10,32,16,19
"418","A35B012",10,3597,2,1,10,31,15,17
"419","A35B012",11,1138,2,12,11,38,24,101
"420","A35B012",12,2637,1,12,11,36,21,83
"421","A36B012",1,660,0,1,9,23,8,6
"422","A36B012",2,660,0,1,9,23,8,6
"423","A36B012",3,660,0,1,9,23,8,6
"424","A36B012",4,660,1,1,9,29,13,12
"425","A36B012",5,660,0,1,9,23,8,6
"426","A36B012",6,660,0,1,9,23,8,6
"427","A36B012",7,660,1,1,9,29,13,12
"428","A36B012",8,660,1,1,9,29,13,12
"429","A36B012",9,660,0,1,9,23,8,6
"430","A36B012",10,660,0,1,9,23,8,6
"431","A36B012",11,660,0,1,9,23,8,6
"432","A36B012",12,660,0,1,9,23,8,6
"433","A37B012",1,2500,1,1,9,29,13,12
"434","A37B012",2,6664,1,14,11,36,21,95
"435","A37B012",3,1538,1,1,9,29,13,12
"436","A37B012",4,7118,1,14,11,36,21,95
"437","A37B012",5,2526,5,1,10,33,17,20
"438","A37B012",6,4137,1,16,12,37,24,132
"439","A37B012",7,3978,1,1,9,29,13,12
"440","A37B012",8,4044,1,1,9,29,13,12
"441","A37B012",9,1631,1,1,9,29,13,12
"442","A37B012",10,8480,1,1,9,29,13,12
"443","A37B012",11,3478,0,1,9,23,8,6
"444","A37B012",12,2032,0,1,9,23,8,6
"445","A38B012",1,660,1,8,10,35,19,51
"446","A38B012",2,660,1,1,9,29,13,12
"447","A38B012",3,660,1,1,9,29,13,12
"448","A38B012",4,660,1,1,9,29,13,12
"449","A38B012",5,660,1,1,9,29,13,12
"450","A38B012",6,660,1,1,9,29,13,12
"451","A38B012",7,660,3,8,11,38,24,76
"452","A38B012",8,660,1,1,9,29,13,12
"453","A38B012",9,660,1,1,9,29,13,12
"454","A38B012",10,660,2,1,10,31,15,17
"455","A38B012",11,660,1,1,9,29,13,12
"456","A38B012",12,2831,0,1,9,23,8,6
"457","A39B012",1,2286,3,8,11,38,24,76
"458","A39B012",2,2236,3,12,11,39,25,108
"459","A39B012",3,3577,5,1,10,33,17,20
"460","A39B012",4,3358,3,1,10,32,16,19
"461","A39B012",5,4296,5,1,10,33,17,20
"462","A39B012",6,2221,4,22,13,41,30,255
"463","A39B012",7,1432,6,1,10,34,18,22
"464","A39B012",8,5179,4,8,11,38,24,76
"465","A39B012",9,3797,6,1,10,34,18,22
"466","A39B012",10,2606,3,1,10,32,16,19
"467","A39B012",11,1549,2,1,10,31,15,17
"468","A39B012",12,5515,3,12,11,39,25,108
"469","A40B012",1,660,1,1,9,29,13,12
"470","A40B012",2,660,1,1,9,29,13,12
"471","A40B012",3,660,3,1,10,32,16,19
"472","A40B012",4,660,2,12,11,38,24,101
"473","A40B012",5,660,3,1,10,32,16,19
"474","A40B012",6,660,5,1,10,33,17,20
"475","A40B012",7,660,1,1,9,29,13,12
"476","A40B012",8,660,3,12,11,39,25,108
"477","A40B012",9,660,4,1,10,33,17,20
"478","A40B012",10,2057,3,1,10,32,16,19
"479","A40B012",11,1997,2,12,11,38,24,101
"480","A40B012",12,1095,3,8,11,38,24,76
"481","A41B012",1,1347,6,16,12,41,29,176
"482","A41B012",2,3873,5,1,10,33,17,20
"483","A41B012",3,2142,5,1,10,33,17,20
"484","A41B012",4,1406,7,19,13,43,33,257
"485","A41B012",5,660,3,12,11,39,25,108
"486","A41B012",6,1073,1,1,9,29,13,12
"487","A41B012",7,1375,4,1,10,33,17,20
"488","A41B012",8,660,6,1,10,34,18,22
"489","A41B012",9,660,7,12,12,41,29,140
"490","A41B012",10,660,11,12,12,42,31,153
"491","A41B012",11,660,10,12,12,42,31,153
"492","A41B012",12,660,3,14,12,39,26,134
"493","A42B012",1,2254,0,1,9,23,8,6
"494","A42B012",2,1794,4,38,14,43,35,564
"495","A42B012",3,2058,2,1,10,31,15,17
"496","A42B012",4,2731,0,1,9,23,8,6
"497","A42B012",5,1544,0,1,9,23,8,6
"498","A42B012",6,845,0,1,9,23,8,6
"499","A42B012",7,660,1,16,12,37,24,132
"500","A42B012",8,1387,1,1,9,29,13,12
"501","A42B012",9,236,0,1,9,23,8,6
"502","A42B012",10,1285,2,14,11,38,24,114
"503","A42B012",11,252,0,1,9,23,8,6
"504","A42B012",12,732,1,14,11,36,21,95
"505","A43B012",1,660,0,1,9,23,8,6
"506","A43B012",2,660,0,1,9,23,8,6
"507","A43B012",3,660,0,1,9,23,8,6
"508","A43B012",4,660,0,1,9,23,8,6
"509","A43B012",5,660,0,1,9,23,8,6
"510","A43B012",6,660,0,1,9,23,8,6
"511","A43B012",7,660,0,1,9,23,8,6
"512","A43B012",8,660,0,1,9,23,8,6
"513","A43B012",9,660,0,1,9,23,8,6
"514","A43B012",10,660,0,1,9,23,8,6
"515","A43B012",11,660,0,1,9,23,8,6
"516","A43B012",12,660,0,1,9,23,8,6
"517","A44B012",1,660,0,1,9,23,8,6
"518","A44B012",2,1305,1,1,9,29,13,12
"519","A44B012",3,3831,1,18,12,37,24,146
"520","A44B012",4,660,3,12,11,39,25,108
"521","A44B012",5,1902,1,1,9,29,13,12
"522","A44B012",6,1855,2,1,10,31,15,17
"523","A44B012",7,660,1,1,9,29,13,12
"524","A44B012",8,1865,4,1,10,33,17,20
"525","A44B012",9,1605,1,8,10,35,19,51
"526","A44B012",10,2063,3,16,12,40,28,166
"527","A44B012",11,1739,2,12,11,38,24,101
"528","A44B012",12,1508,1,1,9,29,13,12
"529","A45B012",1,660,2,8,11,37,23,70
"530","A45B012",2,660,1,1,9,29,13,12
"531","A45B012",3,660,1,1,9,29,13,12
"532","A45B012",4,660,0,1,9,23,8,6
"533","A45B012",5,660,0,1,9,23,8,6
"534","A45B012",6,660,0,1,9,23,8,6
"535","A45B012",7,660,0,1,9,23,8,6
"536","A45B012",8,660,0,1,9,23,8,6
"537","A45B012",9,660,1,1,9,29,13,12
"538","A45B012",10,660,2,14,11,38,24,114
"539","A45B012",11,660,1,1,9,29,13,12
"540","A45B012",12,660,0,1,9,23,8,6
"541","A46B012",1,3554,1,25,13,38,26,231
"542","A46B012",2,4798,5,31,14,43,35,454
"543","A46B012",3,3021,7,31,14,44,36,478
"544","A46B012",4,3725,4,8,11,38,24,76
"545","A46B012",5,2311,1,1,9,29,13,12
"546","A46B012",6,2953,3,27,13,41,30,311
"547","A46B012",7,2514,5,36,14,44,36,560
"548","A46B012",8,3420,3,23,13,41,30,266
"549","A46B012",9,3471,3,30,13,42,32,379
"550","A46B012",10,2154,4,22,13,41,30,255
"551","A46B012",11,3499,3,18,12,40,28,184
"552","A46B012",12,3016,0,30,13,23,10,65
"553","A47B012",1,2608,0,1,9,23,8,6
"554","A47B012",2,660,3,1,10,32,16,19
"555","A47B012",3,660,5,12,12,40,28,132
"556","A47B012",4,660,6,8,11,39,25,81
"557","A47B012",5,3320,3,1,10,32,16,19
"558","A47B012",6,1625,2,1,10,31,15,17
"559","A47B012",7,4949,5,8,11,39,25,81
"560","A47B012",8,4481,2,1,10,31,15,17
"561","A47B012",9,1728,2,1,10,31,15,17
"562","A47B012",10,5945,2,12,11,38,24,101
"563","A47B012",11,3427,3,8,11,38,24,76
"564","A47B012",12,3486,4,1,10,33,17,20
"565","A48B012",1,660,4,8,11,38,24,76
"566","A48B012",2,660,5,12,12,40,28,132
"567","A48B012",3,660,1,1,9,29,13,12
"568","A48B012",4,660,8,1,10,35,19,24
"569","A48B012",5,660,4,1,10,33,17,20
"570","A48B012",6,660,3,1,10,32,16,19
"571","A48B012",7,660,3,1,10,32,16,19
